Name,Points,Assists,FGA,FG,FTAs,FTs,Minutes,3s attempts,3s,turnovers,2s attempts,2s,usage,Appear_In_NBA,Year
C.J. Wilcox,1880,214,1478,640,356,299,3735,773,301,178,705,339,24.1,Yes,2012
Damian Lillard,1934,362,1310,584,600,520,3363,630,246,246,680,338,28.6,Yes,2012
Mike Brown,26,4,16,8,6,4,99,10,6,7,6,2,13.8,Yes,2012
Kevin Jones,1822,141,1475,728,378,256,4347,349,110,136,1126,618,20.8,Yes,2012
Shayne Whittington,1119,81,807,416,367,279,2574,48,8,150,759,408,22.9,Yes,2012
Toure' Murry,1539,429,1280,519,480,366,3999,434,135,340,846,384,23.5,Yes,2012
Marcus Thornton,2178,308,1649,709,551,435,4328,809,325,324,840,384,28.7,Yes,2012
Reggie King,76,47,68,25,33,24,593,12,2,32,56,23,10.5,Yes,2012
Frank Kaminsky,1458,188,1013,529,389,297,2943,279,103,121,734,426,25.5,Yes,2012
Duje Dukan,298,37,248,106,64,42,970,134,44,36,114,62,18.6,Yes,2012
Larry Nance,1386,172,978,510,428,330,3631,117,36,193,861,474,22.8,Yes,2012
Carrick Felix,955,125,748,341,247,174,2626,304,99,162,444,242,21,Yes,2012
Solomon Hill,1430,304,1012,487,458,341,4030,307,115,290,705,372,19.7,Yes,2012
Nick Johnson,1333,304,1048,441,418,307,3339,401,144,197,647,297,22.7,Yes,2012
James White,863,78,706,357,240,146,2188,15,3,157,691,354,22.6,Yes,2012
Mitchell Anderson,602,70,575,231,164,97,1687,162,43,110,413,188,23.2,Yes,2012
Mo Williams,368,93,314,110,144,101,2002,163,47,103,151,63,12.3,Yes,2012
Pierre Jackson,1235,478,884,390,369,298,2424,414,157,256,470,233,27.1,Yes,2012
Cory Jefferson,1159,51,794,431,424,280,2589,50,17,101,744,414,21.4,Yes,2012
Ian Clark,1920,289,1406,681,269,218,3818,800,340,277,606,341,23.6,Yes,2012
Ryan Anderson,1787,151,1295,630,706,495,3906,120,32,235,1175,598,25.9,Yes,2012
Brandon Davies,1680,213,1166,609,691,456,3251,18,6,283,1148,603,26.4,Yes,2012
Mike Muscala,2036,211,1443,723,695,569,3815,67,21,217,1376,702,28.4,Yes,2012
James Johnson,306,10,206,123,98,60,1186,0,0,47,206,123,12.8,Yes,2012
Ian Clark,13,5,9,4,5,3,48,6,2,7,3,2,17.9,Yes,2012
Chris McNealy,1207,277,1062,439,278,198,3480,355,131,177,707,308,19.9,Yes,2012
Robert Smith,846,293,818,288,244,165,2914,347,105,274,471,183,21.6,Yes,2012
Alan Williams,1732,117,1295,637,649,458,3026,3,0,196,1292,637,32,Yes,2012
Allen Crabbe,1537,219,1195,533,320,262,3402,547,209,182,648,324,23.3,Yes,2012
Terrence Williams,972,228,857,326,372,265,2930,195,55,244,662,271,21.6,Yes,2012
Aaron Williams,240,29,279,91,60,36,936,95,22,73,184,69,20.2,Yes,2012
Sean Kilpatrick,2145,279,1687,707,536,418,4315,901,313,236,786,394,26,Yes,2012
Justin Jackson,770,166,633,322,267,124,2740,21,2,212,612,320,18.3,Yes,2012
Devin Booker,1154,99,897,445,368,242,3089,80,22,199,817,423,21.8,Yes,2012
Greg Smith,1051,133,839,356,391,282,2578,163,57,212,676,299,25.1,Yes,2012
Spencer Dinwiddie,1115,227,690,290,506,420,2590,298,115,153,392,175,21.8,Yes,2012
Andre Roberson,1012,119,741,382,340,198,2970,143,50,183,598,332,19,Yes,2012
Shabazz Napier,1959,646,1447,595,626,509,4614,693,260,350,754,335,24,Yes,2012
Doug McDermott,3150,194,2075,1141,715,594,4569,598,274,321,1477,867,32.3,Yes,2012
Kyle Anderson,1292,138,1152,435,198,153,4048,780,269,149,372,166,17.6,Yes,2012
Royce O'Neale,1268,400,862,411,401,301,4057,363,145,258,499,266,18.1,Yes,2012
Ray McCallum,1618,451,1173,546,593,429,3519,335,97,233,838,449,23.7,Yes,2012
Damion Lee,2016,244,1468,636,578,487,4104,710,257,217,758,379,26,Yes,2012
Mason Plumlee,1384,212,915,525,569,332,3652,10,2,282,905,523,20.2,Yes,2012
Seth Curry,2101,290,1582,682,498,412,4357,825,325,225,757,357,23.8,Yes,2012
Quinn Cook,1571,509,1235,534,313,267,4033,629,236,201,606,298,20.2,Yes,2012
Ryan Kelly,949,117,682,314,272,219,2437,269,102,104,413,212,18.8,Yes,2012
Brandon Williams,0,1,4,0,0,0,12,1,0,1,3,0,17.5,Yes,2012
Reggie Lewis,1176,167,1139,432,172,124,3169,517,188,143,622,244,20.3,Yes,2012
Bernard Thompson,1835,246,1466,636,487,344,4031,601,219,278,865,417,24.8,Yes,2012
Okaro White,1402,95,944,466,502,401,3417,211,69,217,733,397,21,Yes,2012
Erik Murphy,1052,95,773,397,152,115,2488,329,143,139,444,254,21,Yes,2012
Tyler Johnson,1350,303,1077,491,348,249,3538,320,119,176,757,372,21.5,Yes,2012
Jordan Loyd,165,51,150,55,62,41,588,54,14,46,96,41,20.1,Yes,2012
Kentavious Caldwell-Pope,1013,96,814,338,250,188,2114,439,149,100,375,189,27,Yes,2012
Marcus Thornton,829,91,687,289,361,230,2885,72,21,165,615,268,18.9,Yes,2012
Elias Harris,1857,177,1289,666,618,447,3785,219,78,242,1070,588,24.6,Yes,2012
David Stockton,661,423,526,223,207,145,2741,229,70,202,297,153,15.5,Yes,2012
